City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Letchworth,GB,39.54,scattered clouds,51.9794,-0.2284,Premier Inn Hitchin Town Centre hotel
Ekuvukeni,ZA,61.9,clear sky,-28.4675,30.1551,
Washim,IN,64.85,clear sky,20.1,77.15,Hotel Maniprabha
Challapata,BO,56.95,broken clouds,-18.9,-66.7667,Alojamiento universal
San Ramon,US,56.84,mist,37.7799,-121.978,San Ramon Marriott
Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,HOTEL VALENCIA
Dalbandin,PK,52.34,clear sky,28.8947,64.4101,Al-Dawood Hotel & Restaurant
San Angelo,US,53.82,clear sky,31.4638,-100.437,Wingate by Wyndham San Angelo
Shaami-Yurt,RU,38.93,clear sky,43.2294,45.3931,
Xushan,CN,52.97,clear sky,30.1764,121.2457,Hanzhou Bay Universal Hotel
Castellana Grotte,IT,47.52,overcast clouds,40.8864,17.1655,Park Hotel La Grave
Perpignan,FR,46.98,overcast clouds,42.75,2.75,
Launceston,AU,60.62,broken clouds,-41.45,147.1667,Hotel Launceston
Nantucket,US,59.34,mist,41.2835,-70.0995,Cliff Lodge Bed & Breakfast
Jalna,IN,66.4,clear sky,19.8333,75.8833,Madhuban Hotel
Roma,US,53.11,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
Lar,IN,67.12,clear sky,26.2039,83.9717,Rajkishor Hotel
Otsuchi,JP,48.54,overcast clouds,39.3667,141.9,Sanriku Flower Hotel Hamagiku
Khuzdar,PK,47.59,clear sky,27.7384,66.6434,
Dunedin,NZ,51.04,overcast clouds,-45.8742,170.5036,The Victoria Hotel Dunedin
Tanout,NE,69.84,clear sky,14.9709,8.8879,
Otane,NZ,66.0,light rain,-39.8833,176.6333,Ludlow Farmstay
Laguna,US,56.21,mist,38.421,-121.4238,Hampton Inn & Suites Sacramento-Elk Grove Laguna I-5
Lagoa,PT,63.54,overcast clouds,39.05,-27.9833,Graciosa Resort - Biosphere Island Hotel
Huarmey,PE,69.49,overcast clouds,-10.0681,-78.1522,Hotel Miramar
Pombia,IT,40.05,clear sky,45.653,8.6336,Hotel Villa Malpensa
Salamiyah,SY,53.83,overcast clouds,35.0113,37.0532,Resort Safari Souria منتجع سفاري سورية
Bardiyah,LY,59.77,clear sky,31.7561,25.0865,Hotel Burdy
Lianzhou,CN,47.52,clear sky,24.7811,112.3825,Lianzhou Hotel
Hermiston,US,45.23,overcast clouds,45.8404,-119.2895,"Holiday Inn Express & Suites Hermiston Downtown, an IHG Hotel"
Quang Ngai,VN,65.91,overcast clouds,15.1167,108.8,Central Hotel
Caala,AO,59.9,overcast clouds,-12.8525,15.5606,
Simao,CN,55.51,overcast clouds,22.7886,100.9748,普洱开元梅子湖温泉酒店
Baie-Saint-Paul,CA,41.13,snow,47.4411,-70.4986,Hôtel Baie-Saint-Paul
Ceres,US,59.18,overcast clouds,37.5949,-120.9577,DoubleTree by Hilton Hotel Modesto
Codrington,AU,57.09,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
Hasaki,JP,46.8,overcast clouds,35.7333,140.8333,Daishin Ryokan
Talcahuano,CL,58.64,overcast clouds,-36.7167,-73.1167,Hotel Terramar
Vestmannaeyjar,IS,37.26,light rain,63.4427,-20.2734,Hotel Vestmannaeyjar
Baoding,CN,34.99,clear sky,38.8511,115.4903,Xiu Lan Hotel
