City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
minbu,20.1833,94.8833,68.79,78,2,2.75,MM,1638739374
george,-33.963,22.4617,63.7,86,72,8.34,ZA,1638739374
tsabong,-26.0217,22.401,72.19,30,26,1.77,BW,1638739375
nantucket,41.2835,-70.0995,44.74,49,1,4.61,US,1638739223
richards bay,46.8361,-95.9123,28.47,93,90,9.22,US,1638739375
plouzane,48.3833,-4.6167,44.78,73,75,9.22,FR,1638739376
sur,22.5667,59.5289,73.22,71,0,5.53,OM,1638739376
kisac,45.3503,19.7286,41.95,96,100,3.71,RS,1638739376
mayo,38.8876,-76.5119,52.99,52,75,4.61,US,1638739377
jurado,7.1053,-77.7641,79.34,91,100,5.35,CO,1638739377
jijiga,9.35,42.8,56.71,72,0,5.21,ET,1638739377
hasaki,35.7333,140.8333,45.28,64,100,12.95,JP,1638739378
sao joao da barra,20.5113,76.2129,65.14,52,0,1.01,IN,1638739378
byron bay,44.0327,-92.6455,39.9,81,90,4.0,US,1638739208
sidi bin nur,5.0829,19.8781,79.3,53,100,4.5,CF,1638739379
firminy,45.3873,4.2907,36.1,87,90,11.5,FR,1638739379
srednekolymsk,67.45,153.6833,-48.87,100,71,4.79,RU,1638739379
bon air,50.7333,7.1,40.86,87,75,5.75,DE,1638739356
normandin,48.8333,-72.5321,10.71,66,100,4.61,CA,1638739380
bowen,-20.0167,148.2333,81.41,62,19,15.86,AU,1638739380
deputatskiy,69.3,139.9,-23.78,97,100,2.75,RU,1638739380
abu samrah,24.6,72.7,57.33,51,14,4.94,IN,1638739381
necochea,-38.5473,-58.7368,68.04,57,0,11.45,AR,1638739381
boma,7.0805,-2.1697,75.7,36,8,1.99,GH,1638739382
north bend,50.3333,3.6667,40.23,94,62,4.27,FR,1638739382
pemangkat,1.1667,108.9667,79.43,81,100,10.69,ID,1638739382
gedo,9.0167,37.45,51.51,45,4,3.76,ET,1638739383
sechura,-5.5569,-80.8222,75.13,60,97,17.56,PE,1638739383
leh,34.1667,77.5833,19.72,83,98,2.53,IN,1638739383
phalodi,27.1333,72.3667,63.32,25,0,7.47,IN,1638739384
sao luis do quitunde,20.5113,76.2129,65.14,52,0,1.01,IN,1638739378
asau,46.4333,26.4,33.96,82,100,3.53,RO,1638739205
atambua,-9.1061,124.8925,74.23,90,100,1.43,ID,1638739385
darhan,49.4867,105.9228,12.7,85,16,7.54,MN,1638739385
caiaponia,-16.9567,-51.8103,77.99,76,31,6.58,BR,1638739385
tocopilla,-22.092,-70.1979,68.99,66,92,5.82,CL,1638739386
erzurum,40.0,41.5,11.88,80,7,4.63,TR,1638739386
eirunepe,-6.6603,-69.8736,72.63,99,100,3.11,BR,1638739386
qaqortoq,60.7167,-46.0333,27.1,85,100,27.54,GL,1638739387
morondava,-20.2833,44.2833,80.74,70,98,5.77,MG,1638739387
aegviidu,59.2858,25.6142,12.65,88,40,4.74,EE,1638739388
santander,43.4647,-3.8044,52.3,79,75,10.0,ES,1638739388
cockburn town,-32.0833,141.0,73.53,23,63,11.5,AU,1638739388
codajas,-3.8367,-62.0569,81.19,79,86,2.91,BR,1638739389
portland,45.5234,-122.6762,47.75,81,75,1.01,US,1638738848
dabakala,8.3667,-4.4333,81.82,26,28,2.3,CI,1638739389
olinda,-8.0089,-34.8553,78.53,78,75,9.22,BR,1638739389
lieksa,63.3167,30.0167,10.85,95,33,6.29,FI,1638739390
port moresby,-7.0349,29.7638,73.47,79,36,5.35,CD,1638739390
morehead,37.2711,-87.1764,70.14,82,90,1.99,US,1638739391
surt,31.2089,16.5887,58.62,34,0,14.54,LY,1638739391
edd,13.9297,41.6925,80.82,54,0,19.22,ER,1638739391
kieta,-6.2167,155.6333,80.89,81,100,2.42,PG,1638739392
lovozero,68.005,35.0117,4.26,67,47,10.92,RU,1638739392
ambilobe,-13.2,49.05,76.53,70,3,4.41,MG,1638739392
santa cruz do capibaribe,17.486,120.4348,77.02,71,99,5.19,PH,1638739393
davila,18.4726,120.5763,73.38,77,66,18.19,PH,1638739393
acapulco,16.8634,-99.8901,85.82,74,1,9.22,MX,1638739249
kloulklubed,7.0419,134.2556,75.7,76,100,9.4,PW,1638739393
huancavelica,-12.7667,-74.9833,42.62,88,100,6.73,PE,1638739394
poronaysk,49.2167,143.1167,14.25,96,70,2.75,RU,1638739394
chardara,41.2547,67.9692,42.94,67,4,5.08,KZ,1638739394
syava,58.0146,46.3222,1.85,92,24,2.75,RU,1638739395
cabo san lucas,-8.2833,-35.0333,78.73,84,82,7.52,BR,1638739395
daru,-9.0763,143.2092,78.91,83,100,2.28,PG,1638739395
san jeronimo,13.3034,-4.8956,80.74,13,22,9.28,ML,1638739279
atherton,53.5237,-2.4935,42.3,85,99,1.48,GB,1638739396
pecos,31.4229,-103.4932,79.05,19,1,4.61,US,1638739396
tateyama,34.9833,139.8667,47.01,74,100,10.6,JP,1638739396
urumqi,43.801,87.6005,16.75,79,67,2.24,CN,1638739397
kirksville,40.1948,-92.5833,61.12,70,75,1.99,US,1638739387
katsuura,35.1333,140.3,47.1,73,99,11.7,JP,1638739397
douentza,14.9951,-2.9517,75.36,15,65,5.77,ML,1638739398
ekibastuz,51.6667,75.3667,30.51,82,100,7.92,KZ,1638739398
morant bay,17.9,-76.4333,85.68,76,74,11.14,JM,1638739398
sinjar,36.3209,41.8754,49.3,65,100,6.73,IQ,1638739399
merauke,-8.4667,140.3333,79.9,81,100,2.59,ID,1638739399
burnie,-41.0667,145.9167,56.59,78,91,13.96,AU,1638739400
bambous virieux,-20.2567,57.4061,77.14,72,5,10.04,MU,1638739400
xiongzhou,25.1167,114.3,45.52,65,0,1.03,CN,1638739400
villa carlos paz,46.2039,10.1339,33.19,88,30,7.99,IT,1638739401
antigonish,45.6169,-61.9986,31.82,78,64,3.0,CA,1638739401
mehamn,71.0357,27.8492,30.38,74,0,24.16,NO,1638739401
port blair,-7.0349,29.7638,73.47,79,36,5.35,CD,1638739301
alekseyevsk,57.8406,108.3492,19.38,94,100,10.02,RU,1638739402
mumford,5.2618,-0.759,81.41,84,89,10.85,GH,1638739402
praia da vitoria,14.9215,-23.5087,73.94,78,0,19.57,CV,1638739402
cascais,38.6979,-9.4215,56.52,72,8,1.01,PT,1638739403
hinton,53.4001,-117.5857,19.11,71,64,1.81,CA,1638739403
biu,10.6129,12.1946,74.25,24,42,8.48,NG,1638739404
binzhou,37.3667,118.0167,42.26,58,100,4.5,CN,1638739404
pontes e lacerda,-4.8333,-43.3667,89.64,69,94,3.13,BR,1638739404
gornopravdinsk,60.05,69.9,-11.51,100,65,3.29,RU,1638739405
parksepa,57.9062,26.9836,3.0,96,96,5.93,EE,1638739405
reyes,-14.3167,-67.3833,74.97,98,100,2.68,BO,1638739405
kungurtug,50.5994,97.5228,3.07,90,77,2.04,RU,1638739406
dauphin,51.1494,-100.0502,5.14,78,90,16.11,CA,1638739406
samana,19.2056,-69.3369,84.42,79,40,6.91,DO,1638739406
illapel,-31.6308,-71.1653,82.29,34,19,8.05,CL,1638739407
kununurra,-15.7667,128.7333,75.18,94,99,8.05,AU,1638739407
horadiz,39.4488,47.3353,47.17,30,100,4.07,AZ,1638739407
sidi ali,5.0829,19.8781,79.3,53,100,4.5,CF,1638739408
san carlos de bariloche,13.3034,-4.8956,80.74,13,22,9.28,ML,1638739279
desur,12.4333,79.4833,75.02,90,4,1.32,IN,1638739408
kruisfontein,-34.0033,24.7314,63.88,87,98,7.96,ZA,1638739408
abnub,27.2696,31.1511,55.62,57,100,4.38,EG,1638739409
solikamsk,59.6196,56.7729,-4.61,99,87,2.73,RU,1638739409
duluth,46.7833,-92.1066,29.61,91,90,3.0,US,1638739149
malakal,9.5334,31.6605,81.43,28,8,5.73,SS,1638739410
brownsville,25.9018,-97.4975,82.51,73,20,8.99,US,1638739410
barcelos,41.5388,-8.6151,52.29,91,60,5.86,PT,1638739410
loukhi,66.0764,33.0381,-1.08,94,9,4.52,RU,1638739411
vaitape,-16.5167,-151.75,81.37,67,38,18.61,PF,1638739411
aguimes,27.9054,-15.4461,63.23,68,75,20.71,ES,1638739411
seoul,37.5683,126.9778,31.44,93,0,2.3,KR,1638739383
dzerzhinskoye,56.8344,95.2283,28.74,82,100,12.75,RU,1638739412
chapais,49.7834,-74.8492,1.18,94,100,3.49,CA,1638739412
contamana,-7.3333,-75.0167,85.42,57,100,0.76,PE,1638739413
yenagoa,4.9247,6.2642,78.37,88,100,4.85,NG,1638739413
gao,16.6362,1.637,77.61,10,12,7.87,ML,1638739398
bhadasar,28.2833,74.3167,64.17,62,0,3.27,IN,1638739413
kambove,-10.8764,26.5969,66.2,62,58,3.04,CD,1638739414
bintulu,3.1667,113.0333,73.81,94,40,10.36,MY,1638739414
whitehorse,60.7161,-135.0538,-4.9,83,90,18.99,CA,1638739414
bonfim,3.0833,-59.95,88.2,52,100,9.06,BR,1638739415
zyryanka,65.75,150.85,-41.03,96,97,5.41,RU,1638739415
moyamba,8.1667,-12.4333,76.59,86,19,2.98,SL,1638739416
savonlinna,61.8699,28.88,-0.35,92,20,2.3,FI,1638739416
macau,22.2006,113.5461,64.08,67,0,13.8,MO,1638739416
emmett,43.8735,-116.4993,51.64,42,36,4.0,US,1638739417
prince rupert,52.9669,-108.3847,-3.53,91,48,9.44,CA,1638739417
college,64.8569,-147.8028,5.9,76,75,0.0,US,1638739241
chor,25.5167,69.7667,66.81,22,0,7.85,PK,1638739417
bartica,6.4,-58.6167,82.72,83,100,5.46,GY,1638739418
villavieja,39.85,-0.1833,54.54,44,0,11.99,ES,1638739418
nautla,20.2167,-96.7833,80.13,69,1,13.06,MX,1638739418
dmitrovsk-orlovskiy,52.505,35.1464,25.72,87,100,5.46,RU,1638739419
viborg,56.4532,9.402,30.65,79,99,11.7,DK,1638739419
banjar,-8.19,114.9675,80.46,91,100,6.62,ID,1638739420
tete,-16.1564,33.5867,85.28,30,6,4.0,MZ,1638739420
rincon,32.296,-81.2354,73.58,56,40,6.91,US,1638739313
miri,4.4148,114.0089,77.14,94,40,4.61,MY,1638739421
burley,42.5357,-113.7928,49.3,49,1,20.71,US,1638739421
biak,-0.9131,122.8766,75.58,91,100,8.12,ID,1638739421
beyneu,45.3167,55.2,36.93,72,100,11.9,KZ,1638739421
japura,-0.3167,102.35,72.82,98,100,2.15,ID,1638739422
berlevag,70.8578,29.0864,26.6,68,0,26.46,NO,1638739422
kaduy,59.2,37.15,-16.56,95,22,5.48,RU,1638739423
brae,60.3964,-1.353,37.31,62,81,6.62,GB,1638739423
nyborg,55.3127,10.7896,31.93,80,100,20.22,DK,1638739151
iracoubo,5.4802,-53.2011,78.13,87,99,7.83,GF,1638739423
